Thread,Positivity Scores
257,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.7906}"
258,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
259,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}"
260,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
261,"{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.3802}"
262,"{'neg': 0.042, 'neu': 0.926, 'pos': 0.032, 'compound': -0.1984}"
263,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
264,"{'neg': 0.162, 'neu': 0.608, 'pos': 0.229, 'compound': 0.3162}"
265,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.6705}"
266,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.4199}"
267,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4939}"
268,"{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.5023}"
269,"{'neg': 0.035, 'neu': 0.867, 'pos': 0.098, 'compound': 0.5778}"
270,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5574}"
271,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}"
272,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.5023}"
273,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
274,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
275,"{'neg': 0.085, 'neu': 0.835, 'pos': 0.08, 'compound': -0.1184}"
276,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}"
277,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.6825}"
278,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.9077}"
279,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}"
280,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
282,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.6369}"
283,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
284,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.8805}"
285,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.4767}"
286,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.4019}"
287,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
288,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.7233}"
289,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.6832}"
290,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
291,"{'neg': 0.047, 'neu': 0.848, 'pos': 0.105, 'compound': 0.7096}"
292,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
293,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.5023}"
294,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
295,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}"
296,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.7701}"
297,"{'neg': 0.063, 'neu': 0.916, 'pos': 0.021, 'compound': -0.5859}"
298,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.9136}"
299,"{'neg': 0.046, 'neu': 0.954, 'pos': 0.0, 'compound': -0.4215}"
300,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
301,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
302,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
303,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}"
304,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.3612}"
305,"{'neg': 0.0, 'neu': 0.958, 'pos': 0.042, 'compound': 0.0772}"
