Thread,Sentiment Scores,Label,Positive Score
200,"{'neg': 0.069, 'neu': 0.748, 'pos': 0.183, 'compound': 0.6072}",pos,0.183
201,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
202,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.7399}",pos,0.115
203,"{'neg': 0.259, 'neu': 0.673, 'pos': 0.068, 'compound': -0.6872}",neg,0.068
204,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.25}",pos,0.059
205,"{'neg': 0.025, 'neu': 0.938, 'pos': 0.037, 'compound': 0.224}",pos,0.037
206,"{'neg': 0.107, 'neu': 0.834, 'pos': 0.059, 'compound': -0.5919}",neg,0.059
207,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.7839}",pos,0.067
208,"{'neg': 0.042, 'neu': 0.909, 'pos': 0.049, 'compound': -0.0798}",neg,0.049
209,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6486}",pos,0.135
210,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4215}",pos,0.286
211,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.7717}",pos,0.355
212,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
213,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.4215}",neg,0.0
214,"{'neg': 0.042, 'neu': 0.93, 'pos': 0.028, 'compound': 0.2505}",pos,0.028
215,"{'neg': 0.0, 'neu': 0.215, 'pos': 0.785, 'compound': 0.8066}",pos,0.785
216,"{'neg': 0.012, 'neu': 0.919, 'pos': 0.069, 'compound': 0.8029}",pos,0.069
217,"{'neg': 0.032, 'neu': 0.968, 'pos': 0.0, 'compound': -0.3859}",neg,0.0
218,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
219,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.7482}",pos,0.085
220,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.3612}",neg,0.0
221,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
222,"{'neg': 0.098, 'neu': 0.859, 'pos': 0.043, 'compound': -0.3939}",neg,0.043
223,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
224,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
225,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
226,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",pos,0.244
227,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}",pos,0.085
